company_type,company_field,company_id,city_new,job_id,job_type,salary_bottom,salary_top,year_normal,job_created_year,job_created_month
Другое,Другое,NA,Москва и МО,4002,Молекулярный биолог,50000,80000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4043,Биоинформатик,60000,150000,2022,2022,3
Мед. учреждение,Медицина,2,Москва и МО,4041,Лаборант,45000,55000,2022,2022,3
Мед. учреждение,Медицина,2,Москва и МО,4039,Научный сотрудник,60000,70000,2022,2022,3
НИИ/Университет,Медицина,3,Санкт-Петербург,4036,Биотехнолог,60000,120000,2022,2022,3
НИИ/Университет,Медицина,3,Санкт-Петербург,4035,Менеджер по регистрации,50000,70000,2022,2022,3
Другое,Биоинформатика,NA,Москва и МО,4034,Биоинформатик,80000,150000,2022,2022,3
Poc. компания 10-100,Биотехнологии,4,Москва и МО,4030,Молекулярный биолог,70000,100000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,5,Москва и МО,4028,Молекулярный биолог,50000,100000,2022,2022,3
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4026,Биоинформатик,130000,130000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,7,Москва и МО,4025,Лабораторный менеджер,40000,60000,2022,2022,3
Рос. компания > 100,Медицина,8,Москва и МО,4024,Биоинформатик,60000,120000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4022,Лабораторный менеджер,60000,80000,2022,2022,3
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4021,Менеджер по продажам,100000,160000,2022,2022,3
НИИ/Университет,Медицина,1,Москва и МО,4020,Научный сотрудник,70000,100000,2022,2022,3
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,4016,Научный сотрудник,65000,65000,2022,2022,3
НИИ/Университет,Медицина,9,Москва и МО,4015,Научный сотрудник,85000,100000,2022,2022,3
Мед. учреждение,Медицина,10,Москва и МО,4003,Научный сотрудник,80000,130000,2022,2022,3
Poc. компания 10-100,Медицина,11,Москва и МО,4001,Менеджер проектов/продукта,180000,200000,2022,2022,3
Рос. компания > 100,Биотехнологии,12,Москва и МО,3999,Биотехнолог,60000,70000,2022,2022,3
Рос. компания > 100,Биотехнологии,12,Москва и МО,3998,Менеджер по регистрации,80000,100000,2022,2022,3
Poc. компания 10-100,Ветеринария,13,Москва и МО,4050,Менеджер по продажам,80000,120000,2022,2022,4
НИИ/Университет,Медицина,14,Москва и МО,4115,Менеджер проектов/продукта,100000,150000,2022,2022,4
Poc. компания 10-100,Медицина,15,Москва и МО,4113,Менеджер по продажам,30000,60000,2022,2022,4
Рос. компания > 100,Фармакология,16,Другие города,4112,Биотехнолог,100000,200000,2022,2022,4
НИИ/Университет,Биоинформатика,17,Москва и МО,4106,Лаборант,12000,30000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,4105,Научный сотрудник,12000,30000,2022,2022,4
Рос. компания > 100,Фармакология,18,Москва и МО,4104,Менеджер проектов/продукта,70000,1000000,2022,2022,4
Рос. компания > 100,Фармакология,18,Москва и МО,4102,Менеджер по продажам,70000,100000,2022,2022,4
НИИ/Университет,Медицина,19,Москва и МО,4101,Научный сотрудник,40000,80000,2022,2022,4
НИИ/Университет,Биоинформатика,20,Москва и МО,4099,Биоинформатик,80000,200000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4097,Биоинформатик,70000,100000,2022,2022,4
НИИ/Университет,Биоинформатика,21,Москва и МО,4096,Лабораторный менеджер,70000,90000,2022,2022,4
НИИ/Университет,Медицина,NA,Москва и МО,4094,Научный сотрудник,70000,70000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,22,Москва и МО,4093,Молекулярный биолог,50000,70000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,22,Москва и МО,4092,Молекулярный биолог,50000,70000,2022,2022,4
НИИ/Университет,Медицина,23,Москва и МО,4086,Врач,30000,60000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,23,Москва и МО,4085,Научный сотрудник,40000,80000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,23,Москва и МО,4084,Научный сотрудник,40000,80000,2022,2022,4
Poc. компания 10-100,Другое,24,Москва и МО,4083,Менеджер проектов/продукта,150000,200000,2022,2022,4
НИИ/Университет,Биотехнологии,25,Москва и МО,4081,Молекулярный биолог,70000,100000,2022,2022,4
НИИ/Университет,Медицина,26,Москва и МО,4080,Молекулярный биолог,80000,130000,2022,2022,4
НИИ/Университет,Медицина,27,Санкт-Петербург,4075,Научный сотрудник,60000,80000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,28,Москва и МО,4074,Биоинформатик,30000,100000,2022,2022,4
НИИ/Университет,Генная инженерия/Молбиол и др,29,Москва и МО,4071,Научный сотрудник,50000,70000,2022,2022,4
НИИ/Университет,Биоинформатика,30,Москва и МО,4066,Биоинформатик,80000,100000,2022,2022,4
НИИ/Университет,Медицина,31,Санкт-Петербург,4064,Научный сотрудник,40000,90000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4063,Биотехнолог,70000,100000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4062,Биотехнолог,70000,100000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4059,Научный сотрудник,70000,100000,2022,2022,4
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4058,Лаборант,72000,72000,2022,2022,4
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4057,Научный сотрудник,70000,100000,2022,2022,4
НИИ/Университет,Медицина,33,Москва и МО,4053,Научный сотрудник,130000,150000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4047,Биоинформатик,100000,140000,2022,2022,4
Poc. компания 10-100,Медицина,11,Москва и МО,4046,Биоинформатик,70000,100000,2022,2022,4
НИИ/Университет,Биотехнологии,25,Москва и МО,4045,Молекулярный биолог,70000,100000,2022,2022,4
НИИ/Университет,Биотехнологии,34,Москва и МО,4191,Научный сотрудник,100000,200000,2022,2022,5
Мед. учреждение,Медицина,2,Москва и МО,4189,Научный сотрудник,50000,150000,2022,2022,5
НИИ/Университет,Агрономия и пищевая промышленность,35,Санкт-Петербург,4187,Биоинформатик,75000,120000,2022,2022,5
НИИ/Университет,Медицина,1,Москва и МО,4185,Лабораторный менеджер,70000,90000,2022,2022,5
НИИ/Университет,Медицина,19,Москва и МО,4184,Научный сотрудник,40000,80000,2022,2022,5
НИИ/Университет,Медицина,36,Москва и МО,4178,Научный сотрудник,30000,60000,2022,2022,5
НИИ/Университет,Генная инженерия/Молбиол и др,7,Москва и МО,4177,Лаборант,40000,80000,2022,2022,5
НИИ/Университет,Медицина,19,Москва и МО,4172,Научный сотрудник,40000,60000,2022,2022,5
НИИ/Университет,Фармакология,37,Санкт-Петербург,4171,Аналитик данных,65000,80000,2022,2022,5
НИИ/Университет,Фармакология,3,Санкт-Петербург,4170,Научный сотрудник,85000,200000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Москва и МО,4169,Научный сотрудник,106000,106000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Санкт-Петербург,4168,Научный сотрудник,150000,150000,2022,2022,5
Рос. компания > 100,Биотехнологии,38,Санкт-Петербург,4167,Научный сотрудник,150000,150000,2022,2022,5
Poc. компания 10-100,Биоинформатика,39,Москва и МО,4166,Молекулярный биолог,70000,70000,2022,2022,5
Poc. компания 10-100,Медицина,40,Москва и МО,4164,Биоинформатик,100000,160000,2022,2022,5
НИИ/Университет,Медицина,41,Москва и МО,4163,Научный сотрудник,25000,70000,2022,2022,5
НИИ/Университет,Медицина,41,Москва и МО,4162,Научный сотрудник,50000,90000,2022,2022,5
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4160,Лаборант,72000,72000,2022,2022,5
Poc. компания 10-100,Биоинформатика,42,Москва и МО,4158,Биоинформатик,150000,200000,2022,2022,5
Poc. компания 10-100,Биоинформатика,39,Москва и МО,4156,Научный сотрудник,70000,100000,2022,2022,5
НИИ/Университет,Медицина,43,Москва и МО,4154,Молекулярный биолог,90000,160000,2022,2022,5
НИИ/Университет,Медицина,44,Москва и МО,4152,Биоинформатик,100000,150000,2022,2022,5
Мед. учреждение,Медицина,45,Москва и МО,4151,Врач,130000,130000,2022,2022,5
Другое,Другое,46,Москва и МО,4150,Научный сотрудник,200000,350000,2022,2022,5
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,3961,Лаборант,40000,50000,2022,2022,5
НИИ/Университет,Биотехнологии,47,Москва и МО,4144,Научный сотрудник,100000,200000,2022,2022,5
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4139,Научный сотрудник,72000,72000,2022,2022,5
НИИ/Университет,Медицина,48,Москва и МО,4133,Научный сотрудник,50000,70000,2022,2022,5
НИИ/Университет,Генная инженерия/Молбиол и др,49,Москва и МО,4132,Научный сотрудник,100000,150000,2022,2022,5
НИИ/Университет,Фармакология,3,Санкт-Петербург,4125,Научный сотрудник,50000,90000,2022,2022,5
НИИ/Университет,Биоинформатика,50,Москва и МО,4124,Научный сотрудник,70000,80000,2022,2022,5
Poc. компания 10-100,Медицина,11,Москва и МО,4123,Биоинформатик,70000,100000,2022,2022,5
Poc. компания 10-100,Медицина,51,Москва и МО,4121,Лаборант,200000,300000,2022,2022,5
Poc. компания 10-100,Медицина,51,Москва и МО,4120,Научный сотрудник,200000,300000,2022,2022,5
Рос. компания > 100,Фармакология,16,Другие города,4116,Биотехнолог,100000,200000,2022,2022,5
Другое,Медицина,52,Другие города,3915,Биоинформатик,80000,120000,2022,2022,6
НИИ/Университет,Медицина,36,Москва и МО,4249,Научный сотрудник,30000,75000,2022,2022,6
Клиническая лаборатория,Медицина,53,Москва и МО,4247,Научный сотрудник,80000,50000,2022,2022,6
Клиническая лаборатория,Медицина,53,Москва и МО,4246,Менеджер по регистрации,80000,120000,2022,2022,6
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4245,Научный сотрудник,75000,80000,2022,2022,6
НИИ/Университет,Фармакология,3,Санкт-Петербург,4244,Менеджер по регистрации,60000,65000,2022,2022,6
Рос. компания > 100,Фармакология,54,Другие города,4242,Химик,50000,70000,2022,2022,6
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4233,Аналитик данных,70000,70000,2022,2022,6
Мед. учреждение,Медицина,2,Москва и МО,4232,Аналитик данных,50000,150000,2022,2022,6
НИИ/Университет,Медицина,55,Москва и МО,4230,Биоинформатик,50000,150000,2022,2022,6
НИИ/Университет,Генная инженерия/Молбиол и др,56,Москва и МО,4228,Микробиолог,40000,70000,2022,2022,6
Другое,Фармакология,57,Москва и МО,4227,Биотехнолог,70000,130000,2022,2022,6
НИИ/Университет,Медицина,41,Москва и МО,4226,Научный сотрудник,50000,90000,2022,2022,6
НИИ/Университет,Медицина,41,Москва и МО,4225,Научный сотрудник,30000,70000,2022,2022,6
Poc. компания 10-100,Биотехнологии,58,Москва и МО,4218,Молекулярный биолог,90000,90000,2022,2022,6
НИИ/Университет,Медицина,3,Санкт-Петербург,4217,Аналитик данных,70000,100000,2022,2022,6
НИИ/Университет,Медицина,3,Санкт-Петербург,4216,Химик,50000,55000,2022,2022,6
Рос. компания > 100,Фармакология,54,Другие города,4214,Научный сотрудник,150000,180000,2022,2022,6
Poc. компания 10-100,Ветеринария,13,Москва и МО,4213,Менеджер по продажам,60000,70000,2022,2022,6
НИИ/Университет,Биоинформатика,59,Москва и МО,4212,Научный сотрудник,65000,165000,2022,2022,6
НИИ/Университет,Генная инженерия/Молбиол и др,60,Москва и МО,4211,Биоинформатик,80000,300000,2022,2022,6
Poc. компания 10-100,Фармакология,61,Москва и МО,4207,Менеджер проектов/продукта,70000,150000,2022,2022,6
Poc. компания 10-100,Фармакология,61,Москва и МО,4206,Менеджер по регистрации,80000,120000,2022,2022,6
Poc. компания 10-100,Фармакология,61,Москва и МО,4205,Менеджер по регистрации,100000,150000,2022,2022,6
Мед. учреждение,Медицина,45,Москва и МО,4204,Врач,130000,130000,2022,2022,6
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,4203,Молекулярный биолог,60000,80000,2022,2022,6
Poc. компания 10-100,Биотехнологии,63,Москва и МО,4200,Лаборант,40000,80000,2022,2022,6
Poc. компания 10-100,Биотехнологии,63,Москва и МО,4199,Биотехнолог,70000,120000,2022,2022,6
Poc. компания 10-100,Биотехнологии,63,Москва и МО,4198,Биотехнолог,120000,200000,2022,2022,6
НИИ/Университет,Медицина,36,Москва и МО,4197,Молекулярный биолог,30000,75000,2022,2022,6
Poc. компания 10-100,Химия,64,Москва и МО,4194,Аналитик данных,50000,100000,2022,2022,6
Другое,Другое,65,Москва и МО,4290,Научный сотрудник,100000,130000,2022,2022,7
НИИ/Университет,Генная инженерия/Молбиол и др,66,Москва и МО,4288,Научный сотрудник,50000,100000,2022,2022,7
Poc. компания 10-100,Биотехнологии,67,Москва и МО,4285,Лаборант,65000,90000,2022,2022,7
НИИ/Университет,Генная инженерия/Молбиол и др,68,Москва и МО,4284,Биотехнолог,80000,100000,2022,2022,7
НИИ/Университет,Биоинформатика,69,Москва и МО,4280,Биоинформатик,300000,380000,2022,2022,7
НИИ/Университет,Генная инженерия/Молбиол и др,70,Москва и МО,4275,Биоинформатик,60000,80000,2022,2022,7
Рос. компания > 100,Фармакология,54,Другие города,4274,Химик,60000,80000,2022,2022,7
Poc. компания < 10/стартап,Образование,71,Москва и МО,3874,Менеджер по продажам,80000,150000,2022,2022,7
Другое,Медицина,NA,Москва и МО,4270,"Администратор, ассистент",50000,100000,2022,2022,7
НИИ/Университет,Фармакология,3,Санкт-Петербург,4266,Химик,42000,49000,2022,2022,7
НИИ/Университет,Фармакология,3,Санкт-Петербург,4263,Аналитик данных,100000,100000,2022,2022,7
НИИ/Университет,Генная инженерия/Молбиол и др,72,Москва и МО,4262,Научный сотрудник,40000,145000,2022,2022,7
НИИ/Университет,Биотехнологии,73,Москва и МО,4261,Руководитель группы/отдела/лаборатории,100000,200000,2022,2022,7
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4260,Молекулярный биолог,80000,130000,2022,2022,7
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4259,Молекулярный биолог,80000,130000,2022,2022,7
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4258,Биоинформатик,80000,130000,2022,2022,7
Poc. компания 10-100,Генная инженерия/Молбиол и др,75,Москва и МО,4257,Научный сотрудник,50000,80000,2022,2022,7
Мед. учреждение,Медицина,45,Москва и МО,4254,Врач,130000,130000,2022,2022,7
Мед. учреждение,Медицина,2,Москва и МО,4302,Биотехнолог,60000,80000,2022,2022,8
НИИ/Университет,Фармакология,3,Санкт-Петербург,4363,Биотехнолог,80000,160000,2022,2022,8
НИИ/Университет,Фармакология,3,Санкт-Петербург,4362,Молекулярный биолог,55000,55000,2022,2022,8
НИИ/Университет,Медицина,1,Москва и МО,4360,Руководитель группы/отдела/лаборатории,200000,250000,2022,2022,8
НИИ/Университет,Биоинформатика,76,Москва и МО,4357,Научный сотрудник,70000,70000,2022,2022,8
Клиническая лаборатория,Медицина,77,Москва и МО,4356,Молекулярный биолог,90000,100000,2022,2022,8
Клиническая лаборатория,Медицина,77,Москва и МО,4355,Менеджер по продажам,100000,300000,2022,2022,8
Рос. компания > 100,Фармакология,54,Москва и МО,4350,Биотехнолог,150000,180000,2022,2022,8
Другое,Другое,65,Санкт-Петербург,4348,Биоинформатик,70000,90000,2022,2022,8
Poc. компания 10-100,Биотехнологии,67,Москва и МО,4347,Лаборант,65000,100000,2022,2022,8
НИИ/Университет,Медицина,41,Москва и МО,4346,Научный сотрудник,50000,90000,2022,2022,8
НИИ/Университет,Биоинформатика,78,Москва и МО,4344,Молекулярный биолог,40000,90000,2022,2022,8
НИИ/Университет,Биотехнологии,44,Москва и МО,4342,Биотехнолог,100000,200000,2022,2022,8
НИИ/Университет,Биоинформатика,78,Москва и МО,4341,Молекулярный биолог,80000,150000,2022,2022,8
НИИ/Университет,Биоинформатика,78,Москва и МО,4339,Лабораторный менеджер,80000,80000,2022,2022,8
Рос. компания > 100,Фармакология,54,Другие города,4338,Научный сотрудник,100000,130000,2022,2022,8
Рос. компания > 100,Фармакология,54,Другие города,4336,Научный сотрудник,100000,130000,2022,2022,8
Рос. компания > 100,Фармакология,54,Другие города,4335,Биотехнолог,85000,110000,2022,2022,8
Poc. компания 10-100,Ветеринария,13,Москва и МО,4334,Биоинформатик,50000,100000,2022,2022,8
Другое,Другое,65,Москва и МО,4332,"Администратор, ассистент",120000,130000,2022,2022,8
НИИ/Университет,Биоинформатика,69,Москва и МО,4331,Биоинформатик,150000,280000,2022,2022,8
НИИ/Университет,Биотехнологии,79,Другие города,4330,Научный сотрудник,50000,100000,2022,2022,8
НИИ/Университет,Генная инженерия/Молбиол и др,80,Москва и МО,4328,Лаборант,60000,90000,2022,2022,8
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4326,Молекулярный биолог,80000,130000,2022,2022,8
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4325,Микробиолог,80000,110000,2022,2022,8
Poc. компания < 10/стартап,Образование,71,Москва и МО,4320,Менеджер по продажам,30000,40000,2022,2022,8
НИИ/Университет,Медицина,19,Москва и МО,4318,Научный сотрудник,80000,90000,2022,2022,8
Другое,Другое,65,Санкт-Петербург,4317,Биотехнолог,70000,90000,2022,2022,8
Другое,Другое,65,Санкт-Петербург,4316,Биоинформатик,70000,90000,2022,2022,8
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,4314,Молекулярный биолог,60000,80000,2022,2022,8
НИИ/Университет,Фармакология,3,Санкт-Петербург,4312,Биотехнолог,70000,150000,2022,2022,8
НИИ/Университет,Фармакология,3,Санкт-Петербург,4311,Биотехнолог,70000,150000,2022,2022,8
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,4310,Научный сотрудник,90000,100000,2022,2022,8
НИИ/Университет,Медицина,82,Москва и МО,4308,Микробиолог,40000,90000,2022,2022,8
НИИ/Университет,Фармакология,3,Санкт-Петербург,4303,Менеджер по регистрации,60000,80000,2022,2022,8
Poc. компания 10-100,Биотехнологии,58,Москва и МО,4297,Молекулярный биолог,80000,80000,2022,2022,8
Другое,Другое,65,Санкт-Петербург,4296,Биоинформатик,70000,90000,2022,2022,8
Другое,Другое,65,Санкт-Петербург,4295,Биотехнолог,70000,90000,2022,2022,8
НИИ/Университет,Генная инженерия/Молбиол и др,56,Москва и МО,4294,Микробиолог,40000,70000,2022,2022,8
Мед. учреждение,Медицина,45,Москва и МО,4293,Врач,130000,130000,2022,2022,8
НИИ/Университет,Медицина,33,Москва и МО,4412,Научный сотрудник,130000,150000,2022,2022,9
НИИ/Университет,Медицина,33,Москва и МО,4411,Научный сотрудник,130000,150000,2022,2022,9
НИИ/Университет,Медицина,31,Санкт-Петербург,4409,Научный сотрудник,50000,150000,2022,2022,9
НИИ/Университет,Медицина,NA,Москва и МО,4405,Лаборант,50000,80000,2022,2022,9
Рос. компания > 100,Биотехнологии,12,Москва и МО,4404,Менеджер по регистрации,80000,110000,2022,2022,9
НИИ/Университет,Медицина,83,Москва и МО,4400,"Администратор, ассистент",40000,50000,2022,2022,9
Другое,Другое,65,Санкт-Петербург,4399,Научный сотрудник,45000,60000,2022,2022,9
Другое,Другое,65,Санкт-Петербург,4398,Менеджер проектов/продукта,70000,90000,2022,2022,9
Клиническая лаборатория,Медицина,77,Москва и МО,4397,Менеджер по продажам,80000,200000,2022,2022,9
НИИ/Университет,Медицина,84,Москва и МО,4396,Научный сотрудник,50000,50000,2022,2022,9
НИИ/Университет,Биоинформатика,78,Москва и МО,4394,Научный сотрудник,80000,100000,2022,2022,9
НИИ/Университет,Медицина,85,Москва и МО,4389,Лаборант,60000,80000,2022,2022,9
НИИ/Университет,Медицина,85,Москва и МО,4387,Молекулярный биолог,100000,200000,2022,2022,9
НИИ/Университет,Медицина,85,Москва и МО,4385,Аналитик данных,80000,200000,2022,2022,9
НИИ/Университет,Медицина,85,Москва и МО,4384,Микробиолог,100000,200000,2022,2022,9
НИИ/Университет,Медицина,82,Москва и МО,4382,Молекулярный биолог,50000,90000,2022,2022,9
Другое,Другое,65,Москва и МО,4381,Менеджер по регистрации,70000,80000,2022,2022,9
НИИ/Университет,Биоинформатика,78,Москва и МО,4380,Лабораторный менеджер,80000,150000,2022,2022,9
Мед. учреждение,Медицина,45,Москва и МО,4378,Врач,130000,130000,2022,2022,9
НИИ/Университет,Биоинформатика,69,Москва и МО,4377,Лабораторный менеджер,200000,280000,2022,2022,9
НИИ/Университет,Биоинформатика,69,Москва и МО,4376,Научный сотрудник,150000,280000,2022,2022,9
НИИ/Университет,Медицина,86,Москва и МО,4375,Научный сотрудник,50000,70000,2022,2022,9
Мед. учреждение,Медицина,NA,Москва и МО,4373,Лаборант,30000,100000,2022,2022,9
Другое,Другое,NA,Москва и МО,4371,IT,70000,120000,2022,2022,9
Клиническая лаборатория,Медицина,77,Москва и МО,4370,Менеджер проектов/продукта,100000,200000,2022,2022,9
Клиническая лаборатория,Медицина,77,Москва и МО,4369,Научный сотрудник,200000,300000,2022,2022,9
НИИ/Университет,Генная инженерия/Молбиол и др,87,Москва и МО,4368,Молекулярный биолог,70000,80000,2022,2022,9
Poc. компания 10-100,Биотехнологии,58,Москва и МО,4367,Лаборант,70000,70000,2022,2022,9
Рос. компания > 100,Агрономия и пищевая промышленность,88,Другие города,4365,Биотехнолог,60000,70000,2022,2022,9
НИИ/Университет,Генная инженерия/Молбиол и др,89,Москва и МО,4364,Молекулярный биолог,40000,50000,2022,2022,9
НИИ/Университет,Медицина,69,Москва и МО,4471,Научный сотрудник,150000,280000,2022,2022,10
НИИ/Университет,Медицина,90,Санкт-Петербург,4468,Научный сотрудник,30000,30000,2022,2022,10
Poc. компания < 10/стартап,Образование,71,Москва и МО,4467,Менеджер по продажам,100000,120000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4461,Биотехнолог,140000,160000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4460,Химик,90000,110000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4459,Биотехнолог,90000,110000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4458,Биотехнолог,90000,110000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4457,Химик,90000,115000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4456,Химик,90000,110000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4455,Научный сотрудник,110000,130000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4454,Научный сотрудник,110000,130000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4453,Научный сотрудник,140000,180000,2022,2022,10
Рос. компания > 100,Фармакология,54,Другие города,4452,Научный сотрудник,110000,130000,2022,2022,10
НИИ/Университет,Медицина,84,Москва и МО,4451,Лаборант,50000,80000,2022,2022,10
НИИ/Университет,Биоинформатика,30,Москва и МО,4450,Биоинформатик,40000,50000,2022,2022,10
НИИ/Университет,Биоинформатика,17,Москва и МО,4448,Научный сотрудник,60000,80000,2022,2022,10
НИИ/Университет,Биоинформатика,17,Москва и МО,4446,Биотехнолог,100000,200000,2022,2022,10
НИИ/Университет,Медицина,91,Москва и МО,4442,Научный сотрудник,30000,40000,2022,2022,10
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,4441,Научный сотрудник,100000,120000,2022,2022,10
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,4440,Биоинформатик,70000,90000,2022,2022,10
НИИ/Университет,Медицина,41,Москва и МО,4439,Руководитель группы/отдела/лаборатории,100000,200000,2022,2022,10
НИИ/Университет,Медицина,41,Москва и МО,4438,Научный сотрудник,50000,90000,2022,2022,10
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,4436,Научный сотрудник,70000,150000,2022,2022,10
НИИ/Университет,Биоинформатика,NA,Москва и МО,4435,Менеджер проектов/продукта,100000,200000,2022,2022,10
НИИ/Университет,Медицина,92,Москва и МО,4432,Аналитик данных,80000,120000,2022,2022,10
НИИ/Университет,Медицина,60,Москва и МО,4428,Научный сотрудник,60000,80000,2022,2022,10
НИИ/Университет,Фармакология,3,Санкт-Петербург,4426,Менеджер по регистрации,65000,75000,2022,2022,10
Рос. компания > 100,Агрономия и пищевая промышленность,6,Москва и МО,4425,Лаборант,72000,72000,2022,2022,10
НИИ/Университет,Медицина,84,Москва и МО,4423,Молекулярный биолог,80000,100000,2022,2022,10
Другое,Генная инженерия/Молбиол и др,93,Другие города,4421,Молекулярный биолог,35000,55000,2022,2022,10
Poc. компания 10-100,Биоинформатика,39,Другие города,4420,Научный сотрудник,50000,80000,2022,2022,10
Poc. компания 10-100,Биоинформатика,39,Другие города,4419,Научный сотрудник,50000,80000,2022,2022,10
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4418,Микробиолог,80000,120000,2022,2022,10
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4417,Молекулярный биолог,80000,120000,2022,2022,10
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4416,Молекулярный биолог,80000,120000,2022,2022,10
НИИ/Университет,Генная инженерия/Молбиол и др,7,Москва и МО,4514,Научный сотрудник,40000,60000,2022,2022,11
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,4513,Молекулярный биолог,60000,90000,2022,2022,11
Poc. компания < 10/стартап,Агрономия и пищевая промышленность,74,Москва и МО,4511,Молекулярный биолог,75000,140000,2022,2022,11
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,4510,Научный сотрудник,40000,90000,2022,2022,11
НИИ/Университет,Биоинформатика,94,Москва и МО,4509,Лаборант,60000,75000,2022,2022,11
НИИ/Университет,Генная инженерия/Молбиол и др,95,Другие города,4508,Научный сотрудник,80000,80000,2022,2022,11
Рос. компания > 100,Фармакология,96,Москва и МО,4506,Менеджер по регистрации,150000,150000,2022,2022,11
Рос. компания > 100,Фармакология,96,Москва и МО,4505,Биотехнолог,120000,160000,2022,2022,11
Рос. компания > 100,Фармакология,96,Москва и МО,4504,Химик,120000,160000,2022,2022,11
Poc. компания 10-100,Биотехнологии,58,Москва и МО,4495,Молекулярный биолог,30000,70000,2022,2022,11
Рос. компания > 100,Фармакология,97,Москва и МО,4494,Научный сотрудник,90000,160000,2022,2022,11
Poc. компания 10-100,Биоинформатика,42,Другие города,4488,Аналитик данных,60000,150000,2022,2022,11
Poc. компания < 10/стартап,Другое,98,Москва и МО,4486,Менеджер по продажам,150000,200000,2022,2022,11
Клиническая лаборатория,Медицина,77,Москва и МО,4481,"Администратор, ассистент",70000,90000,2022,2022,11
Мед. учреждение,Медицина,2,Москва и МО,4480,Научный сотрудник,40000,70000,2022,2022,11
Poc. компания 10-100,Биоинформатика,99,Москва и МО,4478,Научный сотрудник,70000,130000,2022,2022,11
Poc. компания < 10/стартап,Образование,71,Москва и МО,4476,Менеджер по продажам,100000,100000,2022,2022,11
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4474,Научный сотрудник,90000,100000,2022,2022,11
Рос. компания > 100,Фармакология,32,Санкт-Петербург,4473,Научный сотрудник,90000,110000,2022,2022,11
НИИ/Университет,Генная инженерия/Молбиол и др,100,Другие города,4538,Научный сотрудник,200000,200000,2022,2022,12
НИИ/Университет,Генная инженерия/Молбиол и др,101,Москва и МО,4536,Молекулярный биолог,70000,80000,2022,2022,12
